/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:10.2 CYCLES:590 ICOUNT:58 IHITRATE: 97.1 DHITRATE: 72.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:8.2 CYCLES:8526 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:8.3 CYCLES:8574 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:8.2 CYCLES:8454 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:8.2 CYCLES:8438 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:9.2 CYCLES:942 ICOUNT:102 IHITRATE: 97.8 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:7.2 CYCLES:10214 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 91.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:6.9 CYCLES:9782 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:6.9 CYCLES:9750 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:6.9 CYCLES:9830 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:6.9 CYCLES:9750 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:7.2 CYCLES:10150 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:7.1 CYCLES:9990 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:7.1 CYCLES:9990 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:7.2 CYCLES:10166 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:6.9 CYCLES:9766 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:7.0 CYCLES:9958 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 95.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:6.9 CYCLES:9782 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:6.9 CYCLES:9750 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:6.9 CYCLES:9830 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:6.9 CYCLES:9750 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:7.2 CYCLES:10150 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:7.1 CYCLES:9990 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:7.1 CYCLES:9990 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:7.2 CYCLES:10166 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:6.9 CYCLES:9766 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:9.8 CYCLES:98 ICOUNT:10 IHITRATE: 83.3 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:15.7 CYCLES:110 ICOUNT:7 IHITRATE: 78.9 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:7.3 CYCLES:66 ICOUNT:9 IHITRATE: 70.0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:12.8 CYCLES:90 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:9.8 CYCLES:98 ICOUNT:10 IHITRATE: 83.3 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:15.7 CYCLES:110 ICOUNT:7 IHITRATE: 78.9 DHITRATE: 75.0
